epoch,acc,loss,lr,val_acc,val_loss
0,0.7379091353199805,0.7819795683936253,0.005,0.7691884960833869,0.6659011556499933
1,0.8299645823155838,0.5027641787229659,0.005,0.7990474446851881,0.594238755324752
2,0.8623290180752321,0.40395170624190907,0.005,0.7988642607990432,0.5946607414587314
3,0.8854115779189057,0.33765252810253654,0.005,0.7977651584757665,0.6314795389293772
4,0.9006778212017587,0.29179030022769076,0.005,0.8045429566837227,0.6378345724906999
5,0.9187225207620908,0.24416422208795677,0.005,0.8025279356175933,0.6562629481182144
6,0.9342635564240351,0.20327825826817042,0.005,0.8091225498848115,0.7010129283998318
7,0.9413165608207132,0.18089301734580374,0.005,0.7995969958086113,0.6897426170402229
8,0.9539875427454811,0.15029548186832484,0.005,0.8063747939401372,0.7672246028038799
9,0.9612542745481192,0.12968247568732538,0.005,0.8065579777280147,0.8022348517833513
10,0.9855581338544211,0.06568321967647608,0.001,0.8558344019487852,0.5862656854452024
11,0.9964582315583781,0.03737093856750201,0.001,0.8580326067809548,0.5953751147000819
12,0.9985344406448461,0.03129785685355511,0.001,0.859498076669068,0.6106446759236516
13,0.9986260381045432,0.02823133741627831,0.001,0.8635281187467335,0.6233785403999877
14,0.9993893502686859,0.026145250245775895,0.001,0.8598644440592067,0.626651174027659
15,0.9995420127015144,0.024942239387935407,0.001,0.8624290162160034,0.6378689246379449
16,0.9997252076209087,0.023705571915355612,0.001,0.8611467301921981,0.6384195873732531
17,0.9996641426477773,0.023138886826266646,0.001,0.8602308116022058,0.6563305113970261
