epoch,acc,loss,lr,val_acc,val_loss
0,0.759167099207939,0.7333630645209238,0.005,0.8208134848366468,0.5312809935853174
1,0.8674319909699392,0.40035952843262307,0.005,0.8396848662732154,0.5049403852903611
2,0.9069703538625349,0.2777806228121208,0.005,0.8340051299969151,0.5358566508903831
3,0.9365859615913046,0.19958496448296908,0.005,0.8448149505531714,0.5434920223216165
4,0.9593625011467531,0.1388068239221106,0.005,0.842616342917254,0.6486639781896341
5,0.968521967453363,0.11049509169844071,0.005,0.8411506046389171,0.6208295166689033
6,0.9766738924678655,0.08658688547294369,0.005,0.8459142543492889,0.6058906667526933
7,0.9840930601776936,0.0679873283536759,0.005,0.8440820813921617,0.6963649223295486
8,0.9876957835923427,0.05628550900100016,0.005,0.8457310369443701,0.7198668053710185
9,0.9883980093426556,0.051793676975188566,0.005,0.8499450347457626,0.7237002517810974
10,0.9948401673129179,0.034102012071845746,0.001,0.8668010260386972,0.6575041661423263
11,0.9979849174121455,0.02480407805228872,0.001,0.8635031146285035,0.6856546894496681
12,0.998442890727567,0.022184278478066446,0.001,0.8646024184027798,0.6983972769728857
13,0.999236711142784,0.02030475040328407,0.001,0.8673506779258353,0.7097588329579028
14,0.9992061795866027,0.019784429570290855,0.001,0.8684499815909056,0.7187051955008515
15,0.99957255823894,0.01853902656793689,0.001,0.8673506779695177,0.7277575501508003
16,0.9995114951320369,0.0182041911470236,0.001,0.8697325027701006,0.7176481534072705
17,0.9996641529020243,0.017549689902571667,0.001,0.8711982411576435,0.7238715365283347
18,0.9996336213476628,0.017304629763910246,0.001,0.8682667644043989,0.743115853743485
19,0.9996336213476628,0.01680064825701942,0.001,0.8673506778384705,0.7519079550756732
20,0.9998778737825542,0.016088161829754265,0.0004,0.8719311102094472,0.7361013475094317
21,0.9996946844563857,0.016022205295572536,0.0004,0.8686331989084596,0.7534715790982733
22,0.9996946844563857,0.016078009701998203,0.0004,0.8668010260386972,0.7570866316873628
23,0.9997862791194699,0.015801835853004896,0.0004,0.8700989372741612,0.7510410285544247
24,0.9999389368912771,0.015443531598487352,0.0004,0.8708318064351709,0.7503301405609637
